iter	Passed	Remaining
909	20172	1995
910	20180	1971
911	20190	1948
912	20198	1924
913	20207	1901
914	20215	1877
915	20225	1854
916	20233	1831
917	20266	1810
918	20352	1793
919	20360	1770
920	20368	1747
921	20377	1723
922	20386	1700
923	20394	1677
924	20441	1657
925	20505	1638
926	20514	1615
927	20524	1592
928	20533	1569
929	20542	1546
930	20551	1523
931	20578	1501
932	20660	1483
933	20669	1460
934	20678	1437
935	20689	1414
936	20699	1391
937	20723	1369
938	20819	1352
939	20830	1329
940	20839	1306
941	20849	1283
942	20880	1262
943	20969	1243
944	20978	1220
945	20988	1198
946	20998	1175
947	21006	1152
948	21031	1130
949	21131	1112
950	21142	1089
951	21152	1066
952	21162	1043
953	21174	1020
954	21282	1002
955	21296	980
956	21305	957
957	21315	934
958	21327	911
959	21426	892
960	21435	869
961	21447	847
962	21457	824
963	21465	801
964	21481	779
965	21583	759
966	21592	736
967	21600	714
968	21609	691
969	21617	668
970	21626	645
971	21657	623
972	21744	603
973	21752	580
974	21761	557
975	21769	535
976	21777	512
977	21788	490
978	21796	467
979	21805	445
980	21813	422
981	21822	400
982	21830	377
983	21931	356
984	21949	334
985	21958	311
986	21967	289
987	21975	266
988	21984	244
989	22027	222
990	22104	200
991	22115	178
992	22124	155
993	22134	133
994	22188	111
995	22252	89
996	22262	66
997	22270	44
998	22280	22
999	22288	0
